CICO,SM1_DZ,GATS1i,NdsCH,NdssC,MLOGP,LC50_target
2216,582,839,0,0,2127,3620
2086,0.64,838,0,0,2127,4459
2834,134,0.95,0,0,1859,2827
2126,405,917,4,2,411,6380
3.08,405,1609,1,1,1619,4786
1636,0.64,1695,0,0,408,3861
2219,604,1537,0,0,2026,3262
1594,223,1333,2,0,94,6297
1818,499,1468,1,0,1672,3546
1.5,0.83,1891,0,0,1817,2920
1512,0.64,1844,0,0,347,3203
2.56,134,1758,0,0,347,2283
1818,134,1445,0,0,202,1559
1359,134,1.13,1,0,94,3470
667,582,1361,0,0,202,4748
2333,251,1946,0,0,-1053,2576
2026,223,1429,1,0,202,5259
1594,223,1068,0,0,202,4564
965,0.64,1695,1,0,202,4370
1951,405,1878,0,0,-1053,53
1,405,1.5,2,0,-1306,2381
1512,331,1627,1,0,-386,2891
3219,405,1605,0,0,706,1088
3.74,134,1581,0,0,2274,3721
3669,486,1374,0,0,3291,3701
3.57,1374,2259,0,0,2.05,6083
5926,134,1671,0,0,6203,4628
3802,405,1527,1,0,1869,3700
2802,223,1.6,0,1,1064,1842
2242,1096,1907,0,1,-1.96,3396
1.94,749,1066,0,0,1492,2990
2126,405,1.69,1,1,479,3573
3.08,223,1583,0,1,1442,2271
3277,223,1869,0,0,1587,2085
3179,0,1063,0,0,2942,3822
2728,223,953,0,0,1859,3290
2.62,499,0.99,0,0,3.21,3840
2216,582,839,0,0,2127,3979
2834,134,0.95,0,0,1859,3470
2359,405,814,0,0,893,3314
2565,693,1987,0,2,57,4031
2085,1079,895,0,0,4063,4740
2.26,604,836,0,0,3045,4194
2.91,0,1,0,0,2608,3447
2512,134,1293,0,0,846,2364
2.26,499,907,0,0,2876,3645
3.08,223,1385,0,0,1195,2070
2866,223,1333,0,1,1.05,2270
2386,223,857,0,0,1506,3513
2512,134,1293,0,0,846,2811
3509,854,1478,0,0,2248,2832
2.98,251,2261,0,0,-63,1639
2512,134,1293,0,0,846,2016
2.98,251,1959,0,0,-63,1651
3462,405,1717,0,1,2.06,4097
2755,405,1559,0,1,996,3123
2755,405,1844,0,1,996,3231
2024,977,1328,0,0,2604,5052
2609,604,1529,0,0,2419,3572
2878,134,1684,0,0,0.8,2436
1961,134,1215,1,0,548,2567
2665,251,1762,0,0,-534,1795
1251,251,1126,0,0,-786,5072
2377,331,2111,0,0,-534,2156
2366,405,2606,0,0,-128,1037
2878,134,2102,0,0,0.8,1932
1961,134,1.27,0,0,156,2505
2462,223,1669,0,0,408,1524
1778,223,1203,0,0,156,3048
3609,811,1189,0,0,3291,5115
3316,223,1571,0,1,1795,2856
2,693,1128,2,2,-0.45,4366
4171,693,1678,0,2,2849,4976
3316,223,1571,0,1,1795,2940
3441,0,1667,0,0,3516,4538
2429,0.83,1696,0,0,2604,3391
3143,134,1641,0,0,1209,2692
2802,223,1.6,1,0,1064,3825
2126,405,1127,0,0,-226,3206
2709,331,2072,0,0,-81,1780
2701,405,2003,0,0,-81,533
3252,0,1417,0,0,3124,3299
2111,134,1253,0,0,468,2914
2085,0.56,2451,0,0,-544,1180
3361,223,1437,1,2,2021,3168
3.52,223,1562,0,1,2129,3446
3014,0.56,1987,0,1,538,3496
3181,604,1.52,0,0,3126,4680
3369,134,1614,0,0,1587,3252
3277,223,1633,0,0,1587,2980
2507,405,1.5,2,0,76,3936
3277,486,1416,0,0,2604,5470
2.67,496,2047,0,0,-917,1842
2704,0.56,1965,0,0,-917,150
3277,486,1343,0,0,2604,3736
3566,134,1595,0,0,1.94,3719
2594,251,1287,0,0,454,1749
3485,223,1614,0,0,1.94,3507
3316,223,1571,1,0,1795,3979
3596,604,1515,0,0,4673,5363
3.74,134,1581,0,0,3186,4396
3669,223,1599,0,0,3186,3984
3199,0.56,2033,0,0,-129,1020
2.57,1028,2137,0,0,1466,2973
3641,405,1531,0,1,3289,3182
4005,223,1545,0,1,3953,5055
3896,134,1571,0,0,3503,4822
3201,693,2004,0,0,-937,330
3.98,223,1578,0,0,3806,4819
4114,223,1571,0,0,4098,5219
4237,223,1565,0,0,4379,5268
4.63,405,1458,2,1,5579,3139
2456,331,1259,0,1,496,2858
2536,764,1165,0,1,2619,4191
3461,223,1281,0,0,2813,4416
2641,496,1077,0,1,1697,3537
3.38,638,1506,0,1,1.57,4380
2544,223,1245,0,0,1064,1408
1279,1.16,1714,0,0,1209,2936
2572,1834,1.35,0,2,3115,8471
3222,1501,872,0,0,5149,5861
3728,956,1.17,0,0,4789,5574
3358,1348,1328,0,0,1.89,3852
2.96,0.88,1.53,1,1,787,5244
4.81,693,1.42,0,2,5426,2548
3311,0.56,927,0,1,3461,5276
3023,0.56,1168,0,1,2294,3924
2585,1586,917,0,0,5207,6379
1925,1318,595,0,0,3764,4705
2454,1075,951,0,0,2359,4960
2508,0.58,941,0,0,1701,3766
2222,711,849,0,0,828,3641
3389,223,849,0,1,3587,4108
2031,891,822,0,0,2956,4420
1965,1408,709,0,0,2736,5290
3351,496,1466,0,0,1097,2392
3452,331,1476,1,0,2402,3870
4288,865,1327,0,0,4295,5642
2359,405,814,0,0,893,4287
2085,1079,895,0,0,4063,4790
1962,934,819,0,0,2729,4296
3041,947,1298,0,1,1976,6607
2377,827,938,0,0,2239,3759
3023,0.56,1168,1,0,1239,3278
2777,0.56,1127,1,0,922,3118
2218,923,1074,0,0,291,3237
3103,134,1521,0,0,2193,3267
1822,829,834,0,0,2509,3933
3459,1.47,1483,0,2,491,4486
2442,1211,2254,0,0,1401,4305
1945,889,835,0,0,1969,3927
3315,223,1.1,1,0,2723,4350
2868,1286,1294,0,0,1919,4809
2971,859,2162,0,0,2273,4499
3378,134,988,0,0,3395,4650
2961,405,1189,0,0,1312,2604
3.52,223,1562,1,0,2129,3629
3012,223,1023,0,0,2193,4070
2778,405,1.17,1,0,1.49,2930
3.08,223,1583,1,0,1442,3727
3281,693,1808,0,2,1121,3095
2359,405,814,0,0,893,6400
2026,223,1667,1,0,202,2650
2507,405,1.5,0,2,76,2851
3462,405,1717,0,1,2.06,4208
2462,223,1625,1,0,655,3654
3026,405,1787,0,1,1373,3810
2429,405,1954,0,0,-473,931
2836,693,1.43,0,2,434,3178
4285,134,1551,0,0,4379,6255
2534,872,1619,0,0,-1186,2732
4077,956,1909,0,0,3234,4448
3137,405,1312,0,2,749,1086
2034,0.64,1727,0,0,0.8,2586
2034,331,1.56,0,1,133,2117
1667,1278,1.5,0,2,2459,3955
2283,1.07,1223,0,0,1112,4278
3164,223,909,0,0,2455,3112
3.03,1821,1027,0,2,5469,6897
2031,872,1475,0,1,202,6424
4216,223,1248,0,0,4177,5780
2119,923,1179,0,1,982,1050
3914,0.56,1637,0,1,3048,3926
3542,1.38,1264,0,0,1971,6284
3102,693,1316,0,2,2005,3451
3393,1292,2122,0,3,1595,3477
3191,223,847,0,0,2859,4967
2639,1462,0.83,0,0,5206,5985
2.47,1437,1346,2,2,1821,6351
2164,1437,1227,0,2,2573,6207
3247,638,889,0,1,2922,4680
4255,1695,1087,0,0,2294,4475
3629,331,1478,0,1,2821,3240
3.08,827,1079,2,0,1155,5478
3012,223,0.76,0,0,2637,4620
2374,1.16,979,0,1,3818,5048
2855,1331,1325,0,2,454,7045
2024,405,1605,0,1,133,1307
3739,0,1.25,1,2,3267,2149
3426,693,1488,0,1,1294,3025
2878,134,1684,0,0,0.8,2425
4785,1263,1471,1,4,2749,9612
3286,357,2104,0,0,-521,1771
2507,405,1652,1,1,888,4603
2857,973,1838,0,2,1121,5311
3924,693,1707,0,2,2314,4713
3601,223,1.35,3,2,2545,4320
3634,693,1747,0,2,1742,4051
1968,331,1891,0,0,-1053,1470
2429,405,1927,0,1,586,2583
3029,331,1847,0,0,314,2474
3605,0,1.15,0,0,3562,4510
2024,0.83,1761,0,0,2226,3007
3026,405,1548,0,1,1373,2840
3462,405,1717,0,1,2.06,4557
3669,223,1778,0,0,2274,3604
2.9,1275,913,0,1,3574,6564
3832,223,1587,0,0,3503,4410
4285,134,1.71,0,0,3467,5380
3164,2044,0.83,0,1,4912,6113
3332,134,1294,0,0,2242,3374
2344,582,1.59,0,0,1467,3109
3353,854,1944,0,0,1297,2451
2993,811,1232,0,2,-59,5395
2914,798,975,0,1,2715,4109
3111,331,1011,0,1,2042,3250
2777,0.56,1127,1,0,1433,4767
3188,1182,1244,0,1,1845,5012
3134,223,1319,0,0,1795,2739
3514,134,1.07,1,0,3315,7809
3436,331,951,0,0,2786,4338
2217,872,875,0,0,1769,4182
3219,405,1605,0,0,706,1134
3645,223,1155,0,0,3105,5178
2685,405,1145,0,0,1246,3219
2685,405,1145,0,0,1246,3110
2961,405,1388,0,0,1.58,3070
3.52,223,1.59,0,0,1882,2883
4029,965,1729,0,0,4038,4451
1883,711,1162,0,0,602,2924
3432,638,1385,0,1,1459,5339
3369,134,1614,0,0,1587,2226
3323,1232,1134,0,0,4207,6500
3.73,829,1562,0,1,3182,4732
1831,1182,1901,0,2,158,1234
4141,134,1.22,0,0,4833,6233
3035,223,1941,0,0,1209,2107
3461,223,1.12,0,0,2813,4470
3867,0,1.4,2,0,3659,5678
1713,1098,1752,0,0,-297,3046
2441,0.88,1.54,0,2,57,4920
1634,713,1.19,0,0,1313,2782
3.13,429,0.88,0,0,2679,5229
1886,1153,523,0,0,2938,4737
1886,1115,653,0,0,2646,4342
3684,1275,1072,0,1,4764,7691
4461,405,1139,0,1,4548,4727
3087,223,0.96,1,0,2.42,3979
3822,0,1125,1,0,4044,5510
3113,1593,1319,1,1,4038,6143
2565,452,1529,0,0,242,2115
2217,845,793,1,0,2429,5189
2.95,1772,1351,0,4,3.11,5383
3402,496,1.45,1,0,2345,4557
3618,842,1686,0,2,1661,5184
3613,1336,839,0,0,2459,4886
3739,0,1204,0,1,3374,5434
2251,1501,1197,0,0,4.19,5632
2454,1075,951,0,0,2359,6317
2216,582,1287,0,0,1467,2740
3323,1232,1134,0,0,4207,6525
2126,0.83,1455,0,1,2459,5820
1886,988,764,0,0,2343,3889
3175,859,2095,0,0,2.59,4095
3641,1192,1481,0,1,3.16,5052
2019,1317,1288,0,0,2689,4368
3709,1371,1478,0,1,3909,5568
2479,887,954,0,0,1748,4458
3559,223,1.36,0,0,2446,3458
4.05,693,1381,0,2,3618,5667
3.24,0.56,889,0,0,2214,4544
4829,331,1521,4,4,4.57,6347
2079,988,836,0,1,2481,2608
4037,134,1563,0,0,3806,5180
2137,223,1179,0,0,655,3779
3421,0.58,1.7,0,1,1.57,5029
1279,1327,1284,0,0,2.2,4697
3252,499,832,0,0,4416,4674
3252,499,832,0,0,4416,4384
3739,0,0.7,0,0,4.76,7346
2591,331,1629,0,0,874,2395
2118,956,1643,0,0,-2.03,3638
3274,1214,1011,0,0,3311,6540
2544,223,1245,0,0,1064,3380
2.08,764,788,0,0,1514,4961
2.8,693,1091,0,1,1437,3603
3.9,429,1572,0,1,2297,3842
3177,918,1919,0,0,2031,4116
2111,1477,1298,0,0,3225,5730
3609,811,1208,0,0,3291,4380
3261,331,2047,0,1,915,4182
3.38,702,1527,0,1,1579,3841
2818,0.88,1488,0,0,1182,3726
2442,934,984,0,1,3259,4208
3.63,134,1476,0,0,3358,4305
4535,0.56,1137,1,2,4332,8571
3756,0,964,0,0,4.23,4425
2198,798,0.79,0,1,2056,3328
3159,965,1584,0,2,1121,3770
2862,1031,1828,0,3,-463,4512
4121,829,1551,0,1,3913,5653
2309,907,871,0,0,3046,3775
3.69,223,1062,0,0,2726,3599
3282,0.56,1749,0,2,1117,3757
3465,2171,888,0,0,6515,3623
3252,223,1077,0,0,2.51,4220
4085,134,1482,0,0,4234,5630
2726,496,1108,0,1,1.06,3100
2079,988,836,0,1,2481,3298
3867,134,1174,0,0,3386,4064
3.33,0.56,1555,0,2,1042,3691
2304,1028,1124,0,0,2433,4635
3691,711,1073,0,2,1746,5472
3323,405,1.17,0,2,2592,4577
3501,405,1585,1,1,2.27,5147
2594,251,861,0,0,1.68,3112
3.38,874,903,0,1,3184,5278
3332,134,909,0,0,3051,4891
3578,496,1406,0,1,2391,4320
2857,1421,2282,0,0,2357,4295
2634,223,939,0,0,1834,3926
2836,1.86,1046,0,2,4452,8207
3179,0,805,0,0,2994,4154
3588,251,1506,0,0,1564,3570
3026,251,2164,0,0,314,1812
3739,0,1161,0,0,4431,5680
2955,331,1313,0,0,652,2961
1844,1275,804,0,0,3109,6720
4395,134,1546,0,0,4651,6484
3128,713,797,0,1,4017,5039
2417,1028,1162,0,1,3.19,4169
3055,1273,1132,0,0,2931,5393
2624,1621,1502,0,0,3213,6314
3436,1225,1839,0,0,2054,5087
2423,949,1.15,0,0,1.94,2440
2548,947,1051,1,0,1.66,3588
2647,1286,1278,0,0,1602,4508
3196,1.38,1234,0,0,1321,6018
3378,1.38,1.25,0,0,1654,4854
2396,1593,1351,0,0,3.32,6023
1983,1714,2105,0,0,2358,5062
4086,452,1843,0,0,0.37,3463
3353,405,1418,1,1,1878,5018
3174,1586,0.91,2,2,5361,7382
3567,711,1501,1,3,1759,4043
3591,0.58,1685,0,1,1851,4117
3.81,1025,1055,0,2,215,3838
3311,972,2208,0,3,-165,4244
667,1.03,906,0,0,1064,5558
3979,1306,1404,0,1,5176,4239
2862,1.54,1226,0,0,3896,6171
2183,0.93,846,0,0,1395,4739
2.74,1.04,1603,0,1,2646,4215
3001,651,781,0,0,4203,5262
3378,1.38,1.25,0,0,1654,5933
3.55,1182,1624,0,0,2433,4811
4311,1496,964,0,0,3522,5190
3587,675,2108,0,0,2527,3656
2893,1236,907,0,0,3842,6047
3898,887,1.45,0,0,4066,5999
3675,1718,1248,0,0,3167,4136
2817,1012,1521,0,3,-1169,2069
3937,762,1708,0,0,1145,3297
1965,1028,762,0,0,2116,5303
2819,732,1483,0,0,1717,2941
2019,1317,0.77,0,0,3617,5930
1822,681,794,0,0,2335,3696
2928,1131,908,0,2,3508,5860
2479,887,954,0,0,1748,4119
3793,134,0.93,0,0,4054,6038
3.38,1749,1135,0,1,3305,4951
4181,0.57,1383,0,0,4379,6213
2297,762,798,0,0,2841,3555
2206,1.3,1.36,0,0,2371,4739
3407,1548,1653,0,0,1145,6258
1844,1275,804,0,0,3109,6784
2216,389,796,0,0,1953,3751
4372,134,1254,0,0,5339,6569
3065,1079,825,0,0,5472,6882
1786,702,1081,0,0,-1265,8132
1883,916,1207,0,1,1188,1153
2.11,773,773,0,1,2.57,3360
1975,802,775,1,0,2799,4227
3629,223,802,0,0,3571,4269
2309,907,871,0,0,3046,3782
3316,223,1571,1,0,1795,3854
4223,638,1117,0,1,3557,8169
3333,405,963,1,0,2974,5630
3749,331,1278,0,0,2773,4777
3351,797,2456,2,0,-197,3903
3098,0.93,1075,0,0,2702,5650
3734,223,1374,0,0,3661,5159
3073,1493,1279,0,0,3737,6645
3249,2071,1327,0,0,3948,6446
2137,223,1375,3,0,548,4865
4247,0.58,1.36,2,1,3062,5066
2375,1026,1.09,0,1,2553,3895
1634,713,1.19,0,0,1313,2056
2309,762,845,1,0,1091,3601
3219,811,1127,0,0,2604,4257
4205,1512,1046,0,2,2.11,5002
2.24,405,1203,0,0,-316,2286
2233,0.46,789,1,0,2206,4960
3.24,693,1487,1,0,1002,3598
2297,762,798,0,0,2841,3608
2374,811,817,1,0,2841,5277
2568,389,1012,0,0,2296,3513
3734,223,1282,0,0,2502,3387
3601,223,1254,0,1,2357,3141
3.08,405,1609,0,2,1619,3528
3734,223,1426,0,0,2502,3180
4532,405,1189,1,4,4639,5307
4324,0,1205,0,1,4738,4302
3.08,223,1462,1,0,1442,3518
3073,693,1438,0,2,787,1055
1962,1345,783,0,0,3617,5752
3386,251,1225,0,0,1586,3086
2448,638,921,0,0,1701,3521
3.25,0,0.95,0,0,3259,3926
2824,223,1051,0,0,1801,3168
3134,223,1193,0,0,1548,2692
3.11,0,1079,2,0,2.42,3974
2309,762,1118,0,2,-129,2715
3.2,711,1235,0,3,779,2681
3337,1443,913,0,0,6166,7429
2077,1236,829,0,1,3458,4424
2086,331,1221,1,0,143,3815
3.7,223,1556,0,1,2446,3662
965,732,1359,0,1,435,3481
2183,0.93,846,0,0,1395,4224
2031,496,1952,0,1,-703,1231
2428,956,2609,0,0,113,1301
3871,829,1558,0,1,3026,4539
3046,0,1333,0,2,2352,4075
4532,405,1189,2,3,4639,5104
2238,1513,2078,0,0,489,4513
2841,0.88,1705,0,3,226,1647
4031,1113,1106,1,2,4579,7640
2479,887,954,0,0,1748,4912
3252,223,1077,0,0,2.51,4020
2094,827,0.86,0,0,1886,5449
2728,134,923,0,0,2102,3420
2824,223,1,1,0,2102,3360
2971,972,1255,0,2,2052,4565
2477,405,876,0,1,1.7,2474
1977,1112,881,0,0,2.37,4798
2439,0.93,924,0,0,1748,5007
3049,762,1258,0,2,1996,4369
3.78,0,1182,0,0,3854,4938
3219,811,1151,0,0,2604,3397
2495,0.56,835,0,1,1643,1969
3026,405,1787,0,1,1373,2551
2875,582,2311,0,0,1587,3075
2126,0.83,899,0,0,3478,4263
1639,0.83,1445,2,0,2081,5050
3669,486,1374,0,0,3291,4610
3609,811,1208,0,0,3291,4469
2.33,932,931,0,1,2529,4559
2542,429,1891,0,0,562,2120
2456,331,875,0,1,1294,2263
3.18,1281,1246,0,0,2492,4963
2482,1303,1415,0,0,575,4919
2719,891,2292,0,0,1.94,3289
3023,0.56,1168,0,1,1.75,3379
2251,638,871,1,0,1.61,4021
4.88,134,1853,0,0,2217,4770
2.08,891,816,0,0,2729,4410
2876,928,1372,0,1,1737,6148
2251,638,871,1,0,1.61,4175
4139,496,1.43,0,1,4206,5767
2122,1621,1511,0,0,2.64,5677
4061,134,1658,0,0,-294,3151
3067,1286,1309,0,0,2223,5318
2125,0.73,1537,0,0,883,3007
3452,331,1098,0,1,2.54,3742
2479,887,954,0,0,1748,5341
3528,1.74,1288,0,0,626,5466
2802,223,1.6,0,1,1064,1999
3609,811,1208,0,0,3291,4247
3198,405,1399,0,0,1897,3874
2888,251,1771,0,0,1398,2983
4443,251,1287,4,3,4453,6483
1783,0.57,1187,1,0,2033,6064
2333,251,2327,0,0,-241,3884
3526,711,1586,0,3,1569,3660
3526,711,1596,0,3,757,3423
2366,405,1735,0,0,-534,242
2508,0.58,941,0,0,1701,3799
4436,764,1227,0,1,5258,5412
4356,1028,1224,0,1,5741,5758
2183,0.93,846,0,0,1395,3666
3012,223,1023,0,0,2193,3751
2508,0.58,941,0,0,1701,3799
3103,134,1016,0,0,2193,3210
3.05,405,868,1,3,2233,6195
2585,1586,1352,0,0,4092,6551
1962,1345,783,0,0,3617,5352
3143,134,1641,0,0,1209,2264
2803,1501,1124,0,0,4053,5385
2126,977,771,0,0,3795,4762
4532,405,1189,2,2,4639,5541
2528,0.58,1297,0,0,1539,3025
3103,134,1016,0,0,2193,3651
3171,134,1189,1,0,2.42,3569
3103,134,1016,0,0,2193,3220
2456,0.64,937,0,0,2461,4286
3.26,251,1287,0,1,1994,2745
2802,223,1.6,1,0,1064,4423
3.08,223,1583,0,1,1442,2369
3046,0,1333,4,0,2352,3614
2217,659,788,0,0,1758,3727
4258,223,1538,0,1,4506,5741
4717,223,1288,1,1,4804,6384
3143,134,1641,0,0,1209,2487
3423,1.19,1993,0,4,-1358,3689
3332,134,1068,0,0,2242,3806
2748,223,2048,0,0,0.8,1462
4135,0.58,1263,1,2,2904,5538
3485,223,1614,0,0,1.94,2853
2377,827,938,0,0,2239,5005
2508,0.58,941,0,0,1701,3483
2377,827,938,0,0,2239,3991
3314,331,1173,1,0,3112,3812
3788,693,1365,0,2,2576,4664
2086,1685,396,0,0,4594,6720
2.26,1443,902,0,0,4926,6006
1925,1364,421,0,0,4.19,5591
2377,827,938,0,0,2239,5083
2215,887,888,0,0,1395,4330
3905,0.56,1399,1,0,2.65,4947
3023,0.56,1349,1,0,1239,3917
2726,496,1179,0,1,1.06,3661
2568,582,931,0,0,2461,3594
2636,827,999,0,0,2573,4393
2439,0.93,924,0,0,1748,4856
2781,711,1147,0,0,1515,3846
4137,223,1542,0,1,4234,5194
1733,1077,0.81,0,0,3.11,4630
2377,827,938,0,0,2239,3910
2215,887,888,0,0,1395,3932
2377,827,938,0,0,2239,5146
2.11,0.58,805,0,0,1.61,3391
2583,762,1104,0,1,1968,3882
2.11,0.58,805,0,0,1.61,3787
2329,711,868,0,1,1229,3097
2512,134,862,0,0,1506,3078
1512,0.57,879,0,1,-317,2445
2092,1359,2273,1,1,1246,4796
1774,429,2299,0,0,-0.41,1897
3052,638,903,0,0,3237,4906
3314,331,1397,3,0,2048,4473
3554,629,945,0,0,3315,3459
2726,496,1179,0,1,1.06,2126
2983,496,2106,0,0,-521,1680
2778,0.83,1046,0,0,3562,6652
2634,223,1298,0,0,943,3131
2.08,891,816,0,0,2729,4620
2536,496,1482,0,1,204,3030
2034,0.64,1727,0,0,0.8,2072
2755,0.83,1656,0,0,2957,3746
1892,1441,776,0,0,3426,6087
3402,604,1517,0,0,3451,5086
3219,811,1127,0,0,2604,4759
3137,251,1335,0,0,1141,2412
3195,496,1133,0,1,2222,4446
1,1.15,968,0,1,996,3499
3343,1068,923,0,0,2538,3327
2126,1278,896,0,0,4634,5361
2019,1126,793,0,0,3314,4737
2217,764,859,1,0,2269,5308
2019,1126,793,0,0,3314,5001
2025,932,851,1,0,2212,4672
2479,887,954,0,0,1748,4181
1946,223,1929,0,0,-172,534
3651,1151,911,0,2,2278,4540
3252,223,1077,0,0,2.51,4093
2987,1076,921,0,1,3318,6077
3405,251,1.56,0,0,1272,4132
2.43,496,849,0,1,1237,3133
2233,1.07,841,1,0,3377,5251
2065,1062,852,0,0,2463,4399
2469,582,913,0,0,2688,4002
3.08,223,1583,1,0,1442,3757
1634,798,1093,0,0,0.68,2569
3596,972,941,0,1,4179,4828
1634,713,1.19,0,0,501,2319
3675,1112,1314,0,1,3474,4706
3333,405,963,1,0,2974,4632
2396,223,1778,0,0,347,778
2026,223,1667,0,1,202,855
1751,629,1483,0,0,-317,361
2189,1586,2,0,0,3291,5242
1333,754,1148,0,1,-386,3487
2034,331,2672,1,0,-273,841
973,988,1489,0,1,0.18,2725
3828,1259,966,1,2,4279,8604
3029,331,2.13,0,1,967,1885
3003,134,1413,0,0,2242,2647
3.74,134,1581,0,0,2274,4396
2555,1.11,1686,0,0,289,2601
3.86,223,1.55,0,1,3661,4510
3.98,223,1723,0,0,2894,4703
1783,331,1667,0,0,87,1777
2126,251,1719,0,0,87,2458
4191,762,2195,0,0,1239,2618
3065,923,1317,0,0,1271,2015
3961,405,1083,1,0,3987,5842
3005,1683,774,0,0,4804,7287
4.36,405,1228,1,2,4235,6665
3027,331,1011,0,1,1807,3009
2448,638,921,0,0,1701,3513
3461,223,1111,0,1,2357,3393
4219,1033,963,0,1,4246,9354
2479,887,954,0,0,1748,4208
3676,405,1524,0,1,2289,3976
3033,693,1312,1,0,1.21,4832
2684,988,1226,0,1,3076,4404
2396,223,1778,0,0,347,1121
2748,223,1705,0,0,0.8,1589
3035,223,1662,0,0,1209,2217
2585,0,917,0,0,2255,3502
1439,1079,1867,0,0,2226,3402
3444,0.88,1466,0,3,1.95,4004
5158,134,1791,0,0,3118,6040
2526,713,1201,1,0,2213,3561
3593,1236,1166,0,0,4268,7607
3376,1278,915,0,0,5934,4862
3.98,452,2013,0,0,-22,1810
4305,223,1348,3,2,3909,5192
2926,582,1939,0,0,1548,3046
4166,134,1556,0,0,4098,5912
2938,1385,1225,0,2,1.02,4593
4536,223,1.29,0,0,4907,6634
3134,223,1319,0,0,1795,4804
2165,134,1912,0,0,-172,2300
1126,134,1431,0,0,-317,1399
1429,223,1.75,1,0,-317,3076
1429,223,1804,0,0,-564,2720
1,0.83,1432,0,1,1672,2856
965,0.64,1695,0,1,202,3272
3001,134,2.92,0,0,-2884,2375
2748,223,1705,0,0,0.8,1063
1279,811,1313,0,0,0.58,2925
3.08,223,1583,0,1,1442,3061
1523,1028,1512,0,1,996,2693
1832,1209,1364,0,0,-792,3828
1701,1443,1905,0,0,2957,4440
1094,1236,1461,0,1,996,1911
2931,1.71,935,2,2,5124,7017
2126,0.83,1455,1,0,2459,4184
3641,331,1933,1,0,1971,3246
2137,223,1179,0,0,655,3841
3514,0,1375,2,2,3038,4465
3668,134,1132,0,0,2502,3782
2632,429,1176,0,0,1074,2975
2465,1586,1,0,4,3558,7591
2.33,0.58,1776,0,2,-741,890
3465,0,963,4,0,3267,3407
3277,223,1633,0,0,1587,2182
2866,223,1288,0,0,1442,1906
3738,1131,1584,1,2,2558,4422
2.08,1033,902,0,0,3157,3693
3739,0,1204,1,1,3374,5689
3191,223,1154,0,0,1737,2686
3815,1825,1351,0,0,-0.45,4691
4628,1209,1968,0,0,2437,4551
3.41,223,1278,1,2,1947,2737
2739,0,1.3,1,1,1974,2953
2748,223,1705,0,0,0.8,1691
2024,0.83,1761,0,0,2226,2928
2665,251,1762,0,0,-534,1817
2748,223,1705,0,0,0.8,1305
2462,223,1625,0,1,655,1352
2377,331,1734,0,0,-534,1474
3.2,1531,1059,0,0,3089,6160
1439,1079,1867,0,0,2226,3213
1126,1079,1.44,1,1,2081,3470
1636,331,1265,1,1,-0.38,2766
2024,405,2065,0,1,133,2269
1.5,1278,1868,0,0,2604,3916
3957,223,1269,2,3,2998,4577
3383,1408,892,0,0,4804,5440
3819,615,864,0,0,4878,3715
3044,1028,959,1,0,3762,5950
3776,405,0.92,0,0,3306,4691
3.39,934,889,0,0,4436,5264
3645,223,1155,0,0,3105,4810
3921,251,1398,0,0,1622,3416
3993,223,1214,1,0,3563,4611
2507,405,1652,0,2,888,2495
